8229,TCP Encapsulation of IKE and IPsec Packets,Peer4
8230,Using RSA Algorithm with CBOR Object Signing and Encryption (COSE) Messages,Peer4
8231,Path Computation Element Communication Protocol (PCEP) Extensions for Stateful PCE,Peer4
8232,Optimizations of Label Switched Path State Synchronization Procedures for State PCE,Peer4
8233,Extensions to the Path Computation Element Communication Protocol (PCEP) to Compute Service-Aware Label Switched Paths (LSPs),Peer4
8234,Updates to MPLS Transport Profile (MPLS-TP) Linear Protection in Automatic Protection Switching (APS) Mode,Peer4
8235,Schnorr Non-interactive Zero-Knowledge Proof,Peer4
8236,J-PAKE: Password-Authenticated Key Exchange by Juggling,Peer4
8238,Data Center Benchmarking Terminology,Peer4
8239,Data Center Benchmarking Methodology,Peer4
